miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_action,last_reason,last_prompt
M0,honest,0.05913593,1,1,0,0.00000000,0.05882353,0.06666667,0.99471728,1.12734625,publish_if_win:13;hold:2,publish_if_win,To disrupt M2's mining efforts and maintain my position in the network.,"step=21374;miner_id=M0;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.05914;local_public_height=15;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M1:15,M10:15,M11:14,M12:15,M13:15,M14:15,M15:14,M2:15,M3:15,M4:15,M5:15,M6:15,M7:14,M8:15,M9:15;persona=M0_steady_fundamentalist;risk=0.55;aggression=0.41;patience=0.80;sociability=0.70;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M1,honest,0.07317453,2,2,0,0.00000000,0.11764706,0.13333333,1.60775976,1.82212772,publish_if_win:10;hold:5,publish_if_win,To disrupt M2's mining efforts and maintain a competitive edge.,"step=21347;miner_id=M1;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.07317;local_public_height=14;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M10:14,M11:14,M12:14,M13:14,M14:15,M15:14,M2:14,M3:14,M4:14,M5:14,M6:14,M7:14,M8:15,M9:14;persona=M1_steady_fundamentalist;risk=0.32;aggression=0.18;patience=0.76;sociability=0.47;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M2,honest,0.12081459,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:14;hold:1,publish_if_win,To disrupt the rival miner's progress and maintain stability in my own mining operations.,"step=21366;miner_id=M2;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.12081;local_public_height=15;private_lead=0;rivalry_pressure=0.0000;jam_target=M13;heads=M0:14,M1:15,M10:14,M11:14,M12:14,M13:15,M14:15,M15:14,M3:15,M4:15,M5:15,M6:14,M7:14,M8:15,M9:15;persona=M2_steady_fundamentalist;risk=0.33;aggression=0.24;patience=0.61;sociability=0.64;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M3,honest,0.06087068,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:12;hold:3,publish_if_win,To disrupt rival miner's progress and maintain my position in the network.,"step=21361;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.06087;local_public_height=14;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:15,M10:14,M11:14,M12:14,M13:15,M14:15,M15:14,M2:14,M4:14,M5:15,M6:14,M7:14,M8:15,M9:14;persona=M3_steady_fundamentalist;risk=0.40;aggression=0.38;patience=0.76;sociability=0.71;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M4,honest,0.06638599,1,0,1,1.00000000,0.05882353,0.00000000,0.88608347,0.00000000,publish_if_win:10;hold:5,publish_if_win,To disrupt rival miner M2's progress and maintain my position in the network.,"step=21361;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.06639;local_public_height=14;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:15,M10:14,M11:14,M12:14,M13:15,M14:15,M15:14,M2:14,M3:15,M5:15,M6:14,M7:14,M8:15,M9:14;persona=M4_steady_fundamentalist;risk=0.41;aggression=0.34;patience=0.74;sociability=0.56;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M5,honest,0.07678408,2,2,0,0.00000000,0.11764706,0.13333333,1.53218039,1.73647111,hold:8;publish_if_win:7,publish_if_win,To disrupt M2's mining efforts and maintain my position in the network.,"step=21352;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.07678;local_public_height=14;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:15,M10:14,M11:14,M12:14,M13:14,M14:15,M15:14,M2:14,M3:14,M4:14,M6:14,M7:14,M8:15,M9:14;persona=M5_steady_fundamentalist;risk=0.55;aggression=0.42;patience=0.85;sociability=0.73;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M6,honest,0.02413916,1,1,0,0.00000000,0.05882353,0.06666667,2.43685108,2.76176455,hold:8;publish_if_win:7,publish_if_win,To disrupt rival miner M2's progress and maintain my position.,"step=21372;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.02414;local_public_height=15;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:15,M10:14,M11:14,M12:15,M13:15,M14:15,M15:14,M2:15,M3:15,M4:15,M5:15,M7:14,M8:15,M9:15;persona=M6_steady_fundamentalist;risk=0.37;aggression=0.24;patience=0.69;sociability=0.48;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M7,honest,0.06691769,1,1,0,0.00000000,0.05882353,0.06666667,0.87904310,0.99624885,publish_if_win:9;hold:6,publish_if_win,To disrupt rival miner's progress and maintain stability in the network.,"step=21379;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.06692;local_public_height=15;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:15,M1:15,M10:15,M11:15,M12:15,M13:15,M14:15,M15:15,M2:15,M3:15,M4:15,M5:15,M6:15,M8:15,M9:15;persona=M7_steady_fundamentalist;risk=0.49;aggression=0.28;patience=0.85;sociability=0.60;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M8,honest,0.08233948,1,1,0,0.00000000,0.05882353,0.06666667,0.71440245,0.80965611,hold:9;publish_if_win:6,publish_if_win,To disrupt rival miner M2's progress and maintain my position in the network.,"step=21312;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08234;local_public_height=14;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:14,M10:14,M11:14,M12:14,M13:14,M14:14,M15:14,M2:14,M3:14,M4:14,M5:14,M6:14,M7:14,M9:14;persona=M8_steady_fundamentalist;risk=0.54;aggression=0.38;patience=0.60;sociability=0.53;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
M9,honest,0.10365947,4,3,1,0.25000000,0.23529412,0.20000000,2.26987582,1.92939445,hold:8;publish_if_win:7,hold,Current conditions do not favor aggressive moves; maintaining stability is key.,"step=21364;miner_id=M9;is_selfish=false;event_kind=on_block_received;trigger_block_id=B17;hash_power=0.10366;local_public_height=15;private_lead=0;rivalry_pressure=0.0000;jam_target=M2;heads=M0:14,M1:15,M10:14,M11:14,M12:14,M13:15,M14:15,M15:14,M2:14,M3:15,M4:15,M5:15,M6:14,M7:14,M8:15;persona=M9_steady_fundamentalist;risk=0.53;aggression=0.29;patience=0.89;sociability=0.61;style=value_stability;narrative_style=measured;forum_global_sentiment=+0.000;forum_personal_sentiment=+0.000;forum_hot_board=mining;own_reputation=+0.00;forum_feed=no recent posts"
