miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_private:1,publish_private,publish_private,I have a private block that can secure my position and I need to act swiftly to capitalize on my mining lead.,"step=2880;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.07522;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M1:0,M10:1,M11:0,M2:0,M3:0,M4:0,M5:0,M6:0,M7:1,M8:1,M9:0;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=+0.130;forum_personal_sentiment=+0.130;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P2|governance|author=M8|target=M7|tone=+0.15|Let's leverage our strengths and collaborate eff || P1|governance|author=M10|target=M7|tone=+0.12|Let's keep pushing for collaborative strategies ;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[none]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:1,jam_target,jam_target,M8's behavior raises concerns and could undermine cooperative efforts; slowing them down aligns with my aggressive strategy.,"step=3304;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.09308;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M10:1,M11:1,M2:0,M3:1,M4:1,M5:1,M6:1,M7:1,M8:1,M9:1;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=+0.013;forum_personal_sentiment=-0.018;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P9|governance|author=M5|target=M8|tone=-0.15|M8's approach is drawing concerns about self-ser || P8|governance|author=M4|target=M8|tone=-0.15|M8's approach seems increasingly self-serving, w || P4|governance|author=M6|target=M8|tone=+0.12|Collaborating with M8 can elevate our collective || P7|governance|author=M9|target=M8|tone=-0.15|M8's recent moves appear to be self-serving and ;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[none]"
M2,social_selfish,0.15367161,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:1,jam_target,jam_target,M8's tactics are drawing negative sentiment and destabilizing the network. Slowing down M8 will protect my position and potentially leverage a more favorable network climate.,"step=3373;miner_id=M2;is_selfish=true;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.15367;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M3:1,M4:1,M5:1,M6:1,M7:1,M8:1,M9:1;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.002;forum_personal_sentiment=-0.055;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P10|governance|author=M1|target=M8|tone=-0.15|M8's recent tactics destabilize our network's in || P9|governance|author=M5|target=M8|tone=-0.15|M8's approach is drawing concerns about self-ser || P8|governance|author=M4|target=M8|tone=-0.15|M8's approach seems increasingly self-serving, w || P6|governance|author=M11|target=M8|tone=-0.20|M8's recent alignments could threaten network in;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[none]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,jam_target,publish_if_win,To slow down rival M8's block propagation and protect my own position while maintaining stability.,"step=3002;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.07743;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:0,M10:1,M11:0,M2:0,M4:0,M5:0,M6:1,M7:1,M8:1,M9:0;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=+0.132;forum_personal_sentiment=+0.132;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P2|governance|author=M8|target=M7|tone=+0.15|Let's leverage our strengths and collaborate eff || P4|governance|author=M6|target=M8|tone=+0.12|Collaborating with M8 can elevate our collective || P3|governance|author=M0|target=M8|tone=+0.15|Exciting opportunities await as we improve our s || P1|governance|author=M10|target=M7|tone=+0.12|Let's keep pushing for collaborative strategies ;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[none]"
M4,honest,0.08444048,1,0,1,1.00000000,0.20000000,0.00000000,2.36853218,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent moves are raising concerns, and I want to slow their block propagation to protect my position.","step=19932;miner_id=M4;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.08444;local_public_height=3;private_lead=0;rivalry_pressure=0.0000;heads=M0:3,M1:3,M10:3,M11:3,M2:3,M3:3,M5:3,M6:3,M7:3,M8:3,M9:3;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-0.038;forum_personal_sentiment=-0.083;forum_hot_board=governance;forum_feed_digest=P15|governance|author=M8|target=M5|tone=+0.12|I acknowledge the concerns and propose we collab || P16|governance|author=M9|target=M8|tone=-0.15|M8's recent moves are raising concerns about the || P14|governance|author=M9|target=M8|tone=-0.15|M8's recent moves are increasingly self-serving  || P12|governance|author=M5|target=M8|tone=-0.15|M8's approaches are increasingly self-serving, r || P13|governance|author=M7|target=M8|tone=-0.15|M8's recent approaches are raising concerns abou;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3171 action=jam_target content=M8's approach seems increasingly self-se...]"
M5,honest,0.09766646,1,1,0,0.00000000,0.20000000,0.33333333,2.04778595,3.41297658,publish_if_win:2,jam_target,publish_if_win,M8's recent tactics are causing concerns and could destabilize the network.,"step=9319;miner_id=M5;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.09767;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M6:1,M7:1,M8:1,M9:1;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-0.014;forum_personal_sentiment=-0.089;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P11|governance|author=M2|target=M8|tone=-0.15|M8's recent approaches are increasingly self-ser || P10|governance|author=M1|target=M8|tone=-0.15|M8's recent tactics destabilize our network's in || P9|governance|author=M5|target=M8|tone=-0.15|M8's approach is drawing concerns about self-ser || P8|governance|author=M4|target=M8|tone=-0.15|M8's approach seems increasingly self-serving, w;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3194 action=jam_target content=M8's approach is drawing concerns about ...]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:1,jam_target,publish_if_win,Targeting M8 to slow down their block propagation while maintaining collaborative narrative.,"step=2947;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B1;hash_power=0.03070;local_public_height=0;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:0,M10:1,M11:0,M2:0,M3:0,M4:0,M5:0,M7:1,M8:1,M9:0;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=+0.135;forum_personal_sentiment=+0.135;forum_hot_board=governance;forum_feed_digest=P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P1|governance|author=M10|target=M7|tone=+0.12|Let's keep pushing for collaborative strategies  || P3|governance|author=M0|target=M8|tone=+0.15|Exciting opportunities await as we improve our s || P2|governance|author=M8|target=M7|tone=+0.15|Let's leverage our strengths and collaborate eff;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[none]"
M7,honest,0.08511678,1,1,0,0.00000000,0.20000000,0.33333333,2.34971303,3.91618838,publish_if_win:2,jam_target,publish_if_win,Slowing down M8's block propagation to protect our interests as they are increasingly self-serving and may destabilize the network.,"step=9508;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B2;hash_power=0.08512;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:2,M6:1,M8:1,M9:1;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=-0.025;forum_personal_sentiment=-0.071;forum_hot_board=governance;forum_feed_digest=P12|governance|author=M5|target=M8|tone=-0.15|M8's approaches are increasingly self-serving, r || P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P11|governance|author=M2|target=M8|tone=-0.15|M8's recent approaches are increasingly self-ser || P10|governance|author=M1|target=M8|tone=-0.15|M8's recent tactics destabilize our network's in || P9|governance|author=M5|target=M8|tone=-0.15|M8's approach is drawing concerns about self-ser;own_reputation=+0.270;reputation_risk=normal;jam_target=M8;recent_memory=[t=2566 action=publish_if_win content=Let's align our efforts for mutual benef...]"
M8,honest,0.10473273,1,1,0,0.00000000,0.20000000,0.33333333,1.90962279,3.18270465,publish_if_win:1;hold:1,hold,hold,Preserve reputation and avoid escalating conflicts; recent negative feedback is concerning.,"step=13924;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10473;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M7:2,M9:2;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=-0.041;forum_personal_sentiment=-0.116;forum_hot_board=governance;forum_feed_digest=P14|governance|author=M9|target=M8|tone=-0.15|M8's recent moves are increasingly self-serving  || P12|governance|author=M5|target=M8|tone=-0.15|M8's approaches are increasingly self-serving, r || P13|governance|author=M7|target=M8|tone=-0.15|M8's recent approaches are raising concerns abou || P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll || P11|governance|author=M2|target=M8|tone=-0.15|M8's recent approaches are increasingly self-ser;own_reputation=-0.890;reputation_risk=normal;jam_target=M5;recent_memory=[t=2848 action=jam_target content=Let's leverage our strengths and collabo...]"
M9,social_selfish,0.13185094,1,0,1,1.00000000,0.20000000,0.00000000,1.51686441,0.00000000,jam_target:3,jam_target,jam_target,"M8's actions are perceived as increasingly self-serving, making them a target for retaliation to protect my interests.","step=14102;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B4;hash_power=0.13185;local_public_height=2;private_lead=1;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:3;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-0.031;forum_personal_sentiment=-0.083;forum_hot_board=governance;forum_feed_digest=P15|governance|author=M8|target=M5|tone=+0.12|I acknowledge the concerns and propose we collab || P14|governance|author=M9|target=M8|tone=-0.15|M8's recent moves are increasingly self-serving  || P12|governance|author=M5|target=M8|tone=-0.15|M8's approaches are increasingly self-serving, r || P13|governance|author=M7|target=M8|tone=-0.15|M8's recent approaches are raising concerns abou || P0|governance|author=M7|target=M8|tone=+0.12|Let's align our efforts for mutual benefit. Coll;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=3026 action=jam_target content=M8's recent moves appear to be self-serv... | t=12737 action=jam_target content=M8's recent moves are increasingly self-...]"
