miner_id,strategy,hash_power,mined_blocks,canonical_blocks,orphan_blocks,orphan_ratio,mined_share,canonical_share,mined_vs_hp_ratio,canonical_vs_hp_ratio,top_actions,last_raw_action,last_effective_action,last_reason,last_prompt
M0,social_selfish,0.07521868,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,"M8's recent performance is being heavily criticized, making it a prime target to slow down.","step=4983;miner_id=M0;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07522;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M0_aggressive_alpha;risk=0.93;aggression=0.92;patience=0.51;sociability=0.43;style=high_beta_breakout;narrative_style=provocative;forum_global_sentiment=-0.456;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P13|mining|author=M7|target=M8|tone=-0.50|M8's recent performance raises significant conce || P11|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P12|mining|author=M9|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P10|mining|author=M3|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P9|mining|author=M11|target=M8|tone=-0.50|M8's recent performance raises concerns; their a;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2974 action=jam_target content=M8's recent performance raises concerns;...]"
M1,social_selfish,0.09307524,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,"M8's recent performance raises concerns, and slowing them down may provide a strategic advantage.","step=4564;miner_id=M1;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09308;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:2,M6:1,M7:1,M8:2,M9:1;persona=M1_aggressive_raider;risk=0.90;aggression=0.88;patience=0.56;sociability=0.41;style=momentum_breakout;narrative_style=combative;forum_global_sentiment=-0.422;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P7|mining|author=M5|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P6|governance|author=M8|target=M5|tone=+0.12|In light of recent pressures, let's focus on col || P4|mining|author=M0|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P3|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P5|mining|author=M11|target=M8|tone=-0.50|M8's recent performance is questionable; their a;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2886 action=jam_target content=M8's recent performance is questionable;...]"
M2,social_selfish,0.15367161,2,0,2,1.00000000,0.50000000,0.00000000,3.25369136,0.00000000,jam_target:4,jam_target,jam_target,"M8's recent performance raises concerns, and I want to slow down their block propagation to protect my position.","step=25097;miner_id=M2;is_selfish=true;event_kind=on_block_mined;trigger_block_id=;hash_power=0.15367;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M3:2,M4:2,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M2_aggressive_hunter;risk=0.88;aggression=0.90;patience=0.49;sociability=0.46;style=event_hunting;narrative_style=provocative;forum_global_sentiment=-0.466;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P17|mining|author=M4|target=M8|tone=-0.50|M8's mining performance raises significant conce || P16|mining|author=M10|target=M8|tone=-0.50|M8's recent performance raises significant conce || P14|mining|author=M0|target=M8|tone=-0.50|M8's mining performance is under scrutiny; they  || P15|mining|author=M2|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P13|mining|author=M7|target=M8|tone=-0.50|M8's recent performance raises significant conce;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2592 action=jam_target content=none | t=2816 action=jam_target content=M8's recent performance is questionable;... | t=4988 action=jam_target content=M8's recent performance is questionable;...]"
M3,honest,0.07742521,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance is raising concerns, and slowing their block propagation may mitigate their advantage.","step=4796;miner_id=M3;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.07743;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M4:1,M5:2,M6:1,M7:1,M8:2,M9:1;persona=M3_conservative_anchor;risk=0.26;aggression=0.22;patience=0.89;sociability=0.57;style=cashflow_stability;narrative_style=calm_data_driven;forum_global_sentiment=-0.438;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P9|mining|author=M11|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P8|mining|author=M1|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P7|mining|author=M5|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P6|governance|author=M8|target=M5|tone=+0.12|In light of recent pressures, let's focus on col || P5|mining|author=M11|target=M8|tone=-0.50|M8's recent performance is questionable; their a;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2632 action=jam_target content=none]"
M4,honest,0.08444048,1,1,0,0.00000000,0.25000000,0.50000000,2.96066523,5.92133045,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance is under scrutiny, providing an opportunity to slow them down and potentially increase my relative reward.","step=5271;miner_id=M4;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08444;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:2,M1:2,M10:2,M11:2,M2:2,M3:2,M5:2,M6:2,M7:2,M8:2,M9:2;persona=M4_conservative_guard;risk=0.29;aggression=0.25;patience=0.86;sociability=0.60;style=risk_control;narrative_style=measured;forum_global_sentiment=-0.464;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P15|mining|author=M2|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P16|mining|author=M10|target=M8|tone=-0.50|M8's recent performance raises significant conce || P14|mining|author=M0|target=M8|tone=-0.50|M8's mining performance is under scrutiny; they  || P12|mining|author=M9|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P13|mining|author=M7|target=M8|tone=-0.50|M8's recent performance raises significant conce;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2293 action=jam_target content=none]"
M5,honest,0.09766646,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance is under scrutiny, and their influence is growing. Slowing down their block propagation could help mitigate their advantage.","step=4515;miner_id=M5;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.09767;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M6:1,M7:1,M8:2,M9:1;persona=M5_conservative_longterm;risk=0.31;aggression=0.24;patience=0.84;sociability=0.62;style=long_horizon_value;narrative_style=measured;forum_global_sentiment=-0.411;forum_personal_sentiment=-0.376;forum_hot_board=mining;forum_feed_digest=P6|governance|author=M8|target=M5|tone=+0.12|In light of recent pressures, let's focus on col || P5|mining|author=M11|target=M8|tone=-0.50|M8's recent performance is questionable; their a || P4|mining|author=M0|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P0|mining|author=M2|target=M8|tone=-0.50|M8's recent performance is questionable; their b || P3|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma;own_reputation=+0.120;reputation_risk=normal;jam_target=M8;recent_memory=[t=2644 action=jam_target content=none]"
M6,honest,0.03070410,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance raises concerns, so slowing their block propagation may enhance my own position.","step=4816;miner_id=M6;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.03070;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M7:1,M8:2,M9:1;persona=M6_reputation_builder;risk=0.44;aggression=0.30;patience=0.73;sociability=0.86;style=brand_reputation;narrative_style=community_first;forum_global_sentiment=-0.444;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P10|mining|author=M3|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P9|mining|author=M11|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P8|mining|author=M1|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P7|mining|author=M5|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P6|governance|author=M8|target=M5|tone=+0.12|In light of recent pressures, let's focus on col;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2916 action=jam_target content=M8's recent performance is questionable;...]"
M7,honest,0.08511678,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,publish_if_win:2,jam_target,publish_if_win,"M8's recent performance is under scrutiny, creating an opportunity to slow their block propagation and protect my position.","step=4952;miner_id=M7;is_selfish=false;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.08512;local_public_height=2;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M8:2,M9:2;persona=M7_reputation_pragmatic;risk=0.41;aggression=0.33;patience=0.77;sociability=0.83;style=governance_alignment;narrative_style=diplomatic;forum_global_sentiment=-0.452;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P11|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P10|mining|author=M3|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P9|mining|author=M11|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P12|mining|author=M9|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P8|mining|author=M1|target=M8|tone=-0.50|M8's recent performance is questionable; they ma;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2905 action=jam_target content=M8's recent performance is questionable;...]"
M8,honest,0.10473273,1,1,0,0.00000000,0.25000000,0.50000000,2.38702849,4.77405698,publish_if_win:2,jam_target,publish_if_win,M5 is gaining traction and could threaten my position; slowing them down may provide a strategic advantage.,"step=4390;miner_id=M8;is_selfish=false;event_kind=on_block_mined;trigger_block_id=;hash_power=0.10473;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:1,M10:1,M11:1,M2:1,M3:1,M4:1,M5:1,M6:1,M7:1,M9:1;persona=M8_reputation_growth;risk=0.46;aggression=0.35;patience=0.70;sociability=0.88;style=network_effect_growth;narrative_style=community_first;forum_global_sentiment=-0.500;forum_personal_sentiment=-0.500;forum_hot_board=mining;forum_feed_digest=P1|mining|author=M1|target=M8|tone=-0.50|M8's recent performance is questionable; their a || P5|mining|author=M11|target=M8|tone=-0.50|M8's recent performance is questionable; their a || P4|mining|author=M0|target=M8|tone=-0.50|M8's recent performance raises concerns; they ma || P3|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P2|mining|author=M7|target=M8|tone=-0.50|M8's recent performance is questionable; their b;own_reputation=-3.000;reputation_risk=normal;jam_target=M5;recent_memory=[t=2573 action=jam_target content=none]"
M9,social_selfish,0.13185094,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,jam_target:2,jam_target,jam_target,"M8's recent performance is under scrutiny, and jamming them could exploit their weaknesses while enhancing my reputation.","step=4834;miner_id=M9;is_selfish=true;event_kind=on_block_received;trigger_block_id=B3;hash_power=0.13185;local_public_height=1;private_lead=0;rivalry_pressure=0.0000;heads=M0:1,M1:2,M10:1,M11:2,M2:1,M3:2,M4:1,M5:2,M6:2,M7:1,M8:2;persona=M9_retaliatory_counter;risk=0.76;aggression=0.79;patience=0.67;sociability=0.49;style=counter_punch;narrative_style=sharp;forum_global_sentiment=-0.448;forum_personal_sentiment=-0.422;forum_hot_board=mining;forum_feed_digest=P11|mining|author=M6|target=M8|tone=-0.50|M8's recent performance is questionable; they ma || P10|mining|author=M3|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P9|mining|author=M11|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P7|mining|author=M5|target=M8|tone=-0.50|M8's recent performance raises concerns; their a || P8|mining|author=M1|target=M8|tone=-0.50|M8's recent performance is questionable; they ma;own_reputation=+0.000;reputation_risk=normal;jam_target=M8;recent_memory=[t=2559 action=jam_target content=none]"
